종목코드,종목명,시장구분
95570,AJ네트웍스,KOSPI
6840,AK홀딩스,KOSPI
27410,BGF,KOSPI
282330,BGF리테일,KOSPI
138930,BNK금융지주,KOSPI
1460,BYC,KOSPI
1465,BYC우,KOSPI
1040,CJ,KOSPI
79160,CJ CGV,KOSPI
00104K,CJ4우(전환),KOSPI
120,CJ대한통운,KOSPI
11150,CJ씨푸드,KOSPI
11155,CJ씨푸드1우,KOSPI
1045,CJ우,KOSPI
97950,CJ제일제당,KOSPI
97955,CJ제일제당 우,KOSPI
590,CS홀딩스,KOSPI
12030,DB,KOSPI
16610,DB금융투자,KOSPI
5830,DB손해보험,KOSPI
990,DB하이텍,KOSPI
995,DB하이텍1우,KOSPI
139130,DGB금융지주,KOSPI
1530,DI동일,KOSPI
210,DL,KOSPI
1880,DL건설,KOSPI
215,DL우,KOSPI
375500,DL이앤씨,KOSPI
37550L,DL이앤씨2우(전환),KOSPI
37550K,DL이앤씨우,KOSPI
4840,DRB동일,KOSPI
155660,DSR,KOSPI
69730,DSR제강,KOSPI
17940,E1,KOSPI
365550,ESR켄달스퀘어리츠,KOSPI
383220,F&F,KOSPI
7700,F&F홀딩스,KOSPI
114090,GKL,KOSPI
78930,GS,KOSPI
6360,GS건설,KOSPI
1250,GS글로벌,KOSPI
7070,GS리테일,KOSPI
78935,GS우,KOSPI
12630,HDC,KOSPI
39570,HDC랩스,KOSPI
89470,HDC현대EP,KOSPI
294870,HDC현대산업개발,KOSPI
267250,HD현대,KOSPI
97230,HJ중공업,KOSPI
3580,HLB글로벌,KOSPI
11200,HMM,KOSPI
82740,HSD엔진,KOSPI
3560,IHQ,KOSPI
175330,JB금융지주,KOSPI
234080,JW생명과학,KOSPI
1060,JW중외제약,KOSPI
1067,JW중외제약2우B,KOSPI
1065,JW중외제약우,KOSPI
96760,JW홀딩스,KOSPI
105560,KB금융,KOSPI
2380,KCC,KOSPI
344820,KCC글라스,KOSPI
9070,KCTC,KOSPI
9440,KC그린홀딩스,KOSPI
119650,KC코트렐,KOSPI
92220,KEC,KOSPI
16380,KG스틸,KOSPI
16385,KG스틸우,KOSPI
1390,KG케미칼,KOSPI
33180,KH 필룩스,KOSPI
1940,KISCO홀딩스,KOSPI
